VIN,Price,Model,Year,Drivetrain,Exterior Color,Interior Color,Wheels,Mileage,Location,History
5YJSA1S14FF097666,30100,Model S,2015,70Kwh,Solid Black,Tan,"19"" Sport Wheels",76917,"Costa Mesa, CA",CLEAN
5YJSA1E10FF114121,33700,Model S,2015,70Kwh,Solid Black,Black,"19"" Sport Wheels",63552,"Vienna, VA",CLEAN
5YJSA1S26FF095961,33700,Model S,2015,Dual Motor 70Kwh,Model X Grey,Black,"19"" Sport Wheels",72831,"Pomona, CA",CLEAN
5YJSA1E29FF118600,34400,Model S,2015,Dual Motor 70Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",47573,,PREVIOUS ACCIDENT(S)
5YJSA1E28GF138080,35300,Model S,2016,Dual Motor 70Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",63544,"Lathrop, CA",CLEAN
5YJSA1E25FF106475,36100,Model S,2015,Dual Motor 70Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",31191,"Lathrop, CA",CLEAN
5YJSA1E25FF114091,37000,Model S,2015,Dual Motor 70Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",45419,"Cincinnati, OH",CLEAN
5YJSA1H26FF090069,37900,Model S,2015,Dual Motor 85Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",65556,"Littleton, CO",CLEAN
5YJSA1E16FF116455,38000,Model S,2015,70Kwh,Solid Black,Black,"19"" Sport Wheels",42208,"Tempe, AZ",CLEAN
5YJSA1E21FF102634,38300,Model S,2015,Dual Motor 85Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",52195,"Littleton, CO",CLEAN
5YJSA1E16HF201511,39800,Model S,2017,75Kwh,Red Multi-Coat,Tan,"21"" Wheels",51516,"Lathrop, CA",PREVIOUS ACCIDENT(S)
5YJSA1E18HF198305,39900,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",51048,"Burbank, CA",CLEAN
5YJSA1E10HF191753,40200,Model S,2017,75Kwh,Model X Grey,Black,"19"" Sport Wheels",58928,"Lathrop, CA",CLEAN
5YJSA1H49FF093257,40200,Model S,2015,Dual Motor 85Kwh Performance,Brown Metallic,Black,"21"" Wheels",65190,"Rockville, MD",CLEAN
5YJSA1E25FF115127,40700,Model S,2015,Dual Motor 85Kwh,Brown Metallic,Tan,"19"" Sport Wheels",44517,"Rocklin, CA",CLEAN
5YJSA1E13HF227631,41300,Model S,2017,75Kwh,Solid Black,Cream Premium,"19"" Sport Wheels",52858,"Lathrop, CA",CLEAN
5YJSA1E29GF125788,41700,Model S,2016,Dual Motor 85Kwh,Solid Black,Black,"19"" Sport Wheels",40330,"Tampa, FL",CLEAN
5YJSA1E2XGF134211,41700,Model S,2016,Dual Motor 70Kwh,Model X Grey,Grey,"19"" Sport Wheels",27600,"Glen Allen, VA",CLEAN
5YJSA1E13HF189012,41800,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",30959,"Manhasset, NY",PREVIOUS ACCIDENT(S)
5YJSA1E17HF193435,42400,Model S,2017,75Kwh,Silver Metallic,Tan,"19"" Sport Wheels",37267,"Lathrop, CA",CLEAN
5YJSA1E21FF112015,42400,Model S,2015,Dual Motor 70Kwh,Brown Metallic,Black,"21"" Wheels",25511,"Bellevue, WA",CLEAN
5YJSA1E11HF205756,42600,Model S,2017,75Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",38964,"Kansas City, MO",CLEAN
5YJSA1E21FF120180,42800,Model S,2015,Dual Motor 85Kwh,Model X Grey,Tan,"19"" Sport Wheels",37301,"Lathrop, CA",CLEAN
5YJSA1E15HF233916,43200,Model S,2017,75Kwh,Model X Grey,Black Cloth,"19"" Sport Wheels",44147,"Raleigh, NC",CLEAN
5YJSA1E28GF162170,43400,Model S,2016,Dual Motor 90Kwh,Model X Grey,Tan,"19"" Sport Wheels",28189,"Marina Del Rey, CA",PREVIOUS ACCIDENT(S)
5YJSA1E13HF226446,43500,Model S,2017,75Kwh,Red Multi-Coat,White,"19"" Sport Wheels",37773,"Lathrop, CA",CLEAN
5YJSA1E21FF113035,43800,Model S,2015,Dual Motor 90Kwh,Pearl White Multi-Coat,Tan,"21"" Wheels",28759,"Lathrop, CA",PREVIOUS ACCIDENT(S)
5YJSA1E12HF220069,43800,Model S,2017,75Kwh,Silver Metallic,Black Cloth,"19"" Sport Wheels",37540,"Lathrop, CA",CLEAN
5YJSA1E1XHF213337,43900,Model S,2017,75Kwh,Red Multi-Coat,White,"19"" Sport Wheels",28553,"Pomona, CA",CLEAN
5YJSA1E25HF208197,44000,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",52379,"Springfield, NJ",PREVIOUS ACCIDENT(S)
5YJSA1E27HF193850,44100,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",30412,"Mt. Kisco, NY",PREVIOUS ACCIDENT(S)
5YJSA1H27FF082112,44100,Model S,2015,Dual Motor 85Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",32569,"Renton, WA",CLEAN
5YJSA1E17HF228328,44100,Model S,2017,75Kwh,Solid Black,Black,"19"" Sport Wheels",41387,"Lathrop, CA",CLEAN
5YJSA1E20GF153673,44400,Model S,2016,Dual Motor 90Kwh,Solid Black,Black,"19"" Sport Wheels",38353,"Elk Grove Village, IL",PREVIOUS ACCIDENT(S)
5YJSA1E24HF232443,44400,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",53880,"Santa Ana, CA",CLEAN
5YJSA1E21FF115903,44500,Model S,2015,Dual Motor 85Kwh,Model X Grey,Grey,"19"" Sport Wheels",31019,"Renton, WA",CLEAN
5YJSA1E13HF199507,44800,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",32804,"Buena Park, CA",CLEAN
5YJSA1E18HF216396,44800,Model S,2017,75Kwh,Solid Black,Cream Premium,"19"" Sport Wheels",34510,"Elk Grove Village, IL",CLEAN
5YJSA1E1XHF231367,45000,Model S,2017,75Kwh,Silver Metallic,Black,"19"" Sport Wheels",43530,"Burbank, CA",CLEAN
5YJSA1E23HF232191,45200,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",49189,"Lyndhurst, OH",CLEAN
5YJSA1E19HF213992,45400,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",28372,"Scottsdale, AZ",CLEAN
5YJSA1E17HF228426,45400,Model S,2017,75Kwh,Silver Metallic,Black Cloth,"19"" Sport Wheels",24881,"Lathrop, CA",PREVIOUS ACCIDENT(S)
5YJSA1E23HF201135,45600,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",43806,"Elk Grove Village, IL",PREVIOUS ACCIDENT(S)
5YJSA1E17HF214025,45600,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",23475,"Pomona, CA",CLEAN
5YJSA1E18GF173029,45700,Model S,2016,75Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",23832,"Lathrop, CA",CLEAN
5YJSA1E26HF188347,45700,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black Cloth,"19"" Sport Wheels",25415,"Scottsdale, AZ",CLEAN
5YJSA1E18HF231156,45700,Model S,2017,75Kwh,Pearl White Multi-Coat,Black Cloth,"19"" Sport Wheels",32204,"Lathrop, CA",CLEAN
5YJSA1E24FF106404,45900,Model S,2015,Dual Motor 85Kwh,Brown Metallic,Black,"19"" Sport Wheels",31487,"Scottsdale, AZ",CLEAN
5YJSA1E1XHF231126,46000,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",38264,"Lathrop, CA",CLEAN
5YJSA1E18HF188731,46000,Model S,2017,75Kwh,Model X Grey,Black,"19"" Sport Wheels",31596,"Lathrop, CA",CLEAN
5YJSA1E2XHF193339,46000,Model S,2017,Dual Motor 75Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",46621,"Portland, OR",CLEAN
5YJSA1E10HF196502,46000,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",18348,"Pomona, CA",CLEAN
5YJSA1E17HF219208,46000,Model S,2017,75Kwh,Deep Blue Metallic,Cream Premium,"19"" Sport Wheels",29683,"Scottsdale, AZ",CLEAN
5YJSA1E2XHF180221,46100,Model S,2017,Dual Motor 90Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",44870,"Lathrop, CA",PREVIOUS ACCIDENT(S)
5YJSA1E16HF209625,46100,Model S,2017,75Kwh,Model X Grey,Black Cloth,"19"" Sport Wheels",37466,,CLEAN
5YJSA1E10HF196130,46200,Model S,2017,75Kwh,Silver Metallic,Black,"19"" Sport Wheels",23366,"Lathrop, CA",CLEAN
5YJSA1E2XGF169122,46200,Model S,2016,Dual Motor 75Kwh,Solid Black,Tan,"19"" Sport Wheels",31755,"Lathrop, CA",CLEAN
5YJSA1E25HF199758,46400,Model S,2017,Dual Motor 75Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",33501,"Pomona, CA",CLEAN
5YJSA1E22HF186594,46500,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",13485,"Costa Mesa, CA",PREVIOUS ACCIDENT(S)
5YJSA1E26HF230516,46600,Model S,2017,Dual Motor 75Kwh,Model X Grey,Cream Premium,"19"" Sport Wheels",51086,"Lathrop, CA",CLEAN
5YJSA1E27HF234266,46600,Model S,2017,Dual Motor 75Kwh,Deep Blue Metallic,Black Cloth,"19"" Sport Wheels",34633,"Pomona, CA",CLEAN
5YJSA1E26GF152785,46700,Model S,2016,Dual Motor 90Kwh,Model X Grey,Black,"19"" Sport Wheels",26443,"Littleton, CO",CLEAN
5YJSA1E12HF221030,47000,Model S,2017,75Kwh,Model X Grey,Black Cloth,"19"" Sport Wheels",25929,"Scottsdale, AZ",CLEAN
5YJSA1E20HF187887,47200,Model S,2017,Dual Motor 75Kwh,Model X Grey,Tan,"19"" Sport Wheels",30087,"Portland, OR",CLEAN
5YJSA1E29HF186592,47300,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",30094,"Lathrop, CA",CLEAN
5YJSA1E15HF214170,47400,Model S,2017,75Kwh,Pearl White Multi-Coat,Black Cloth,"19"" Sport Wheels",20412,"Burlingame, CA",CLEAN
5YJSA1E23HF230666,47400,Model S,2017,Dual Motor 75Kwh,Deep Blue Metallic,Black Cloth,"21"" Wheels",35482,"Tempe, AZ",PREVIOUS ACCIDENT(S)
5YJSA1E28HF199334,47500,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",33016,"Kansas City, MO",CLEAN
5YJSA1E27HF231707,47500,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",37073,"Costa Mesa, CA",PREVIOUS ACCIDENT(S)
5YJSA1E17HF228524,47500,Model S,2017,75Kwh,Model X Grey,Black,"19"" Sport Wheels",25646,"Lathrop, CA",CLEAN
5YJSA1E27HF198532,47500,Model S,2017,Dual Motor 75Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",22870,"Littleton, CO",CLEAN
5YJSA1E15HF218350,47600,Model S,2017,75Kwh,Pearl White Multi-Coat,White,"19"" Sport Wheels",20796,"Marina Del Rey, CA",CLEAN
5YJSA1E26HF233058,47700,Model S,2017,Dual Motor 75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",42442,"Wexford, PA",CLEAN
5YJSA1E1XHF196670,47800,Model S,2017,75Kwh,Pearl White Multi-Coat,White,"21"" Wheels",20712,"Hawthorne, CA",CLEAN
5YJSA1E2XHF230471,47800,Model S,2017,Dual Motor 75Kwh,Silver Metallic,White,"19"" Sport Wheels",50184,"Van Nuys, CA",CLEAN
5YJSA1E20HF198503,47800,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",26188,"Matthews, NC",CLEAN
5YJSA1E27HF192410,47800,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",34650,"Lathrop, CA",CLEAN
5YJSA1E18HF225163,47900,Model S,2017,75Kwh,Solid Black,White,"21"" Wheels",31459,"Burbank, CA",CLEAN
5YJSA1E26HF230743,48000,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",33620,"Lathrop, CA",CLEAN
5YJSA1E19HF203771,48000,Model S,2017,60Kwh,Model X Grey,Black,"21"" Wheels",22152,"Scottsdale, AZ",CLEAN
5YJSA1E25HF230510,48200,Model S,2017,Dual Motor 75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",41189,"Smithtown, NY",PREVIOUS ACCIDENT(S)
5YJSA1E26HF228684,48200,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",46338,"Scottsdale, AZ",CLEAN
5YJSA1E10HF225948,48200,Model S,2017,75Kwh,Silver Metallic,Cream Premium,"19"" Sport Wheels",20081,"Costa Mesa, CA",CLEAN
5YJSA1E10HF232690,48300,Model S,2017,75Kwh,Silver Metallic,Black Cloth,"19"" Sport Wheels",25240,"Lathrop, CA",CLEAN
5YJSA1E14HF216072,48300,Model S,2017,75Kwh,Model X Grey,Cream Premium,"19"" Sport Wheels",15854,"Pomona, CA",CLEAN
5YJSA1E20HF209824,48400,Model S,2017,Dual Motor 75Kwh,Deep Blue Metallic,Black Cloth,"19"" Sport Wheels",22768,"Chesterfield, MO",PREVIOUS ACCIDENT(S)
5YJSA1E20HF193401,48600,Model S,2017,Dual Motor 75Kwh,Solid Black,Tan,"19"" Sport Wheels",27469,,CLEAN
5YJSA1E29HF199908,48700,Model S,2017,Dual Motor 75Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",27785,"Glen Allen, VA",CLEAN
5YJSA1E27JF235911,48900,Model S,2018,Dual Motor 75Kwh,Deep Blue Metallic,Black Cloth,"19"" Sport Wheels",28917,"Hawthorne, CA",PREVIOUS ACCIDENT(S)
5YJSA1E24HF208904,48900,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",25046,"Rockville, MD",CLEAN
5YJSA1E23HF213088,49000,Model S,2017,Dual Motor 75Kwh,Silver Metallic,Black Cloth,"19"" Sport Wheels",33246,"Pomona, CA",CLEAN
5YJSA1E10HF231152,49100,Model S,2017,75Kwh,Pearl White Multi-Coat,Black Cloth,"19"" Sport Wheels",30861,"Burbank, CA",CLEAN
