VIN,Price,Model,Year,Drivetrain,Exterior Color,Interior Color,Wheels,Mileage,Location,History
5YJSA1E2XFF106536,32900,Model S,2015,Dual Motor 85Kwh,Brown Metallic,Tan,"19"" Sport Wheels",94956,"Chicago, IL",CLEAN
5YJSA1S21FF087878,35800,Model S,2015,Dual Motor 70Kwh,Model X Grey,Black,"19"" Sport Wheels",42186,"Carlsbad, CA",CLEAN
5YJSA1S14FF080320,35900,Model S,2015,60Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",37800,"Cherry Hill, NJ",CLEAN
5YJSA1E28FF102856,36100,Model S,2015,Dual Motor 70Kwh,Solid Black,Tan,"19"" Sport Wheels",53112,"Rockville, MD",CLEAN
5YJSA1S27FF090333,36100,Model S,2015,Dual Motor 70Kwh,Deep Blue Metallic,Grey,"19"" Sport Wheels",46822,"Littleton, CO",CLEAN
5YJSA1E14GF150461,36200,Model S,2016,75Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",43625,"Littleton, CO",CLEAN
5YJSA1H25FF089480,36700,Model S,2015,Dual Motor 85Kwh,Deep Blue Metallic,Tan,"19"" Sport Wheels",64222,"Rockville, MD",CLEAN
5YJSA1E11GF157075,37000,Model S,2016,75Kwh,Pearl White Multi-Coat,Black,"19"" Sport Wheels",46165,"Lathrop, CA",PREVIOUS ACCIDENT(S)
5YJSA1E19GF153520,37200,Model S,2016,75Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",34834,"West Palm Beach, FL",PREVIOUS ACCIDENT(S)
5YJSA1E15GF120210,37200,Model S,2016,85Kwh,Solid Black,Grey,"19"" Sport Wheels",38894,"Reno, NV",CLEAN
5YJSA1E18GF159731,37300,Model S,2016,75Kwh,Silver Metallic,Black Cloth,"19"" Sport Wheels",49004,"Cincinnati, OH",CLEAN
5YJSA1S2XFF094862,37500,Model S,2015,Dual Motor 70Kwh,Solid Black,Grey,"19"" Sport Wheels",32489,"Renton, WA",CLEAN
5YJSA1E13HF205256,37600,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",52105,"Fremont, CA",PREVIOUS ACCIDENT(S)
5YJSA1E10GF177401,37800,Model S,2016,75Kwh,Solid Black,Black,"19"" Sport Wheels",58536,"Roswell, GA",CLEAN
5YJSA1H16FF100932,37900,Model S,2015,85Kwh,Solid Black,Tan,"19"" Sport Wheels",29780,"Lathrop, CA",CLEAN
5YJSA1S20FF084972,38000,Model S,2015,Dual Motor 70Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",39064,"Renton, WA",CLEAN
5YJSA1S26FF088847,38000,Model S,2015,Dual Motor 70Kwh,Deep Blue Metallic,Grey,"19"" Sport Wheels",41951,"Minneapolis, MN",CLEAN
5YJSA1E24FF119251,38300,Model S,2015,Dual Motor 70Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",41589,"Portland, OR",CLEAN
5YJSA1E25FF106475,38500,Model S,2015,Dual Motor 70Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",31189,"Lathrop, CA",CLEAN
5YJSA1E16FF112325,38600,Model S,2015,70Kwh,Silver Metallic,Grey,"19"" Sport Wheels",21874,"Lathrop, CA",CLEAN
5YJSA1E11GF164074,38600,Model S,2016,75Kwh,Pearl White Multi-Coat,Black Cloth,"19"" Sport Wheels",39211,"Littleton, CO",CLEAN
5YJSA1H29FF083178,38600,Model S,2015,Dual Motor 85Kwh,Model X Grey,Black,"19"" Sport Wheels",49972,"Columbus, OH",CLEAN
5YJSA1E17GF160630,38600,Model S,2016,75Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",40701,"Lathrop, CA",CLEAN
5YJSA1E2XFF116886,38900,Model S,2015,Dual Motor 90Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",76688,"Lathrop, CA",CLEAN
5YJSA1H24FFP75963,39200,Model S,2015,Dual Motor 85Kwh Performance,Deep Blue Metallic,Tan,"19"" Sport Wheels",68566,"Chicago, IL",CLEAN
5YJSA1H40FF087525,39600,Model S,2015,Dual Motor 85Kwh Performance,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",68927,"Lathrop, CA",CLEAN
5YJSA1S25FF088015,39600,Model S,2015,Dual Motor 70Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",32115,"West Palm Beach, FL",CLEAN
5YJSA1E1XGF176854,39900,Model S,2016,75Kwh,Red Multi-Coat,Black Cloth,"19"" Sport Wheels",29899,"Lynnwood, WA",CLEAN
5YJSA1E13GF150998,39900,Model S,2016,75Kwh,Model X Grey,Grey,"19"" Sport Wheels",30111,"Lathrop, CA",CLEAN
5YJSA4S28FF096742,40000,Model S,2015,Dual Motor 70Kwh,Brown Metallic,Tan,"19"" Sport Wheels",35848,"Littleton, CO",CLEAN
5YJSA1E18GF150138,40000,Model S,2016,75Kwh,Pearl White Multi-Coat,Black Cloth,"19"" Sport Wheels",33415,"Renton, WA",CLEAN
5YJSA1E17HF180491,40100,Model S,2017,75Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",37584,"West Palm Beach, FL",CLEAN
5YJSA1E15GF143292,40300,Model S,2016,75Kwh,Red Multi-Coat,Black Cloth,"19"" Sport Wheels",28238,"Tampa, FL",PREVIOUS ACCIDENT(S)
5YJSA1E19HF217816,40400,Model S,2017,75Kwh,Deep Blue Metallic,Black Cloth,"19"" Sport Wheels",42197,"Lathrop, CA",CLEAN
5YJSA1E11HF177442,40400,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",45791,"Lathrop, CA",CLEAN
5YJSA1S24FF100526,40600,Model S,2015,Dual Motor 70Kwh,Model X Grey,Grey,"19"" Sport Wheels",29782,,CLEAN
5YJSA1E22GF167932,40900,Model S,2016,Dual Motor 75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",53523,"Mt. Kisco, NY",CLEAN
5YJSA1E20GF153723,41000,Model S,2016,Dual Motor 75Kwh,Deep Blue Metallic,Tan,"19"" Sport Wheels",29935,"Decatur, GA",PREVIOUS ACCIDENT(S)
5YJSA1E17HF208855,41100,Model S,2017,75Kwh,Deep Blue Metallic,Black Cloth,"19"" Sport Wheels",34665,"Lathrop, CA",PREVIOUS ACCIDENT(S)
5YJSA1E24GF126279,41500,Model S,2016,Dual Motor 90Kwh,Model X Grey,Grey,"19"" Sport Wheels",62154,"Rockville, MD",CLEAN
5YJSA1E11HF182270,41600,Model S,2017,75Kwh,Pearl White Multi-Coat,Black,"19"" Sport Wheels",43573,"Lathrop, CA",CLEAN
5YJSA1E28GF153954,41600,Model S,2016,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",43456,"Matthews, NC",CLEAN
5YJSA1E23GF144868,41600,Model S,2016,Dual Motor 75Kwh,Pearl White Multi-Coat,Grey,"19"" Sport Wheels",42157,"Las Vegas, NV",CLEAN
5YJSA1E15HF213522,41700,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",47958,"Carlsbad, CA",CLEAN
5YJSA1E14GF148421,41700,Model S,2016,75Kwh,Silver Metallic,Black,"19"" Sport Wheels",15270,"Littleton, CO",CLEAN
5YJSA1E21GF168103,42100,Model S,2016,Dual Motor 75Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",48325,"Rockville, MD",CLEAN
5YJSA1E12HF209380,42200,Model S,2017,75Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",41175,"Carlsbad, CA",CLEAN
5YJSA1E26HF195363,42200,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",38745,"Lathrop, CA",CLEAN
5YJSA1E2XHF208888,42300,Model S,2017,Dual Motor 75Kwh,Pearl White Multi-Coat,Black Cloth,"19"" Sport Wheels",46536,"Elk Grove Village, IL",CLEAN
5YJSA1E26GF156884,42300,Model S,2016,Dual Motor 75Kwh,Pearl White Multi-Coat,Black,"19"" Sport Wheels",38932,"Newburgh, NY",CLEAN
5YJSA1E23GF168040,42500,Model S,2016,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",35650,"Lisle, IL",CLEAN
5YJSA1E18HF208654,42500,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",39479,"Lathrop, CA",CLEAN
5YJSA1E13HF214863,42500,Model S,2017,75Kwh,Deep Blue Metallic,Cream Premium,"19"" Sport Wheels",34159,"Lathrop, CA",CLEAN
5YJSA1E15HF214105,42600,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",28283,"Lathrop, CA",CLEAN
5YJSA1E12HF209489,42600,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",26001,"Westmont, IL",CLEAN
5YJSA1E12HF219195,42700,Model S,2017,75Kwh,Deep Blue Metallic,Cream Premium,"19"" Sport Wheels",29656,"Lathrop, CA",CLEAN
5YJSA1E21GF134923,42800,Model S,2016,Dual Motor 70Kwh,Solid Black,Tan,"19"" Sport Wheels",26728,"Cincinnati, OH",CLEAN
5YJSA1E23HF179394,42900,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",47041,"Dedham, MA",CLEAN
5YJSA1E10GF177091,43000,Model S,2016,75Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",34728,"Lathrop, CA",CLEAN
5YJSA1E27GF168042,43000,Model S,2016,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",25443,"Raleigh, NC",PREVIOUS ACCIDENT(S)
5YJSA1E16HF206465,43100,Model S,2017,75Kwh,Solid Black,Black Cloth,"21"" Wheels",41556,"Costa Mesa, CA",CLEAN
5YJSA1E10HF232785,43100,Model S,2017,75Kwh,Pearl White Multi-Coat,White,"19"" Sport Wheels",45541,"Lathrop, CA",CLEAN
5YJSA1E22HF187843,43100,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",47911,"Lisle, IL",CLEAN
5YJSA1E20HF199893,43200,Model S,2017,Dual Motor 75Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",31118,"Owings Mills, MD",PREVIOUS ACCIDENT(S)
5YJSA1E19GF169555,43400,Model S,2016,75Kwh,Solid Black,Black,"19"" Sport Wheels",19603,"Hawthorne, CA",CLEAN
5YJSA1E22HF214717,43500,Model S,2017,Dual Motor 75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",39253,"Lisle, IL",PREVIOUS ACCIDENT(S)
5YJSA1E18GF172379,43500,Model S,2016,75Kwh,Solid Black,Black,"19"" Sport Wheels",21730,"Bakersfield, CA",CLEAN
5YJSA1E2XGF173204,43500,Model S,2016,Dual Motor 75Kwh,Silver Metallic,Black,"19"" Sport Wheels",69547,,CLEAN
5YJSA1E29GF151341,43500,Model S,2016,Dual Motor 90Kwh,Solid Black,Tan,"19"" Sport Wheels",49023,"Lisle, IL",CLEAN
5YJSA1H28FF085830,43600,Model S,2015,Dual Motor 85Kwh,Model X Grey,Black,"19"" Sport Wheels",17267,"San Jose, CA",CLEAN
5YJSA1E27HF191242,43600,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",35197,"Owings Mills, MD",PREVIOUS ACCIDENT(S)
5YJSA1E13HF205760,43700,Model S,2017,75Kwh,Silver Metallic,Black,"19"" Sport Wheels",24203,"Lathrop, CA",CLEAN
5YJSA1E26GF139373,43700,Model S,2016,Dual Motor 75Kwh,Model X Grey,Tan,"19"" Sport Wheels",32630,"Lisle, IL",CLEAN
5YJSA1E18HF215510,43800,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",32254,"Lathrop, CA",CLEAN
5YJSA1E21GF174242,43800,Model S,2016,Dual Motor 75Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",25718,"Las Vegas, NV",CLEAN
5YJSA1E25HF192602,43900,Model S,2017,Dual Motor 75Kwh,Pearl White Multi-Coat,Black,"19"" Sport Wheels",35580,"Lathrop, CA",CLEAN
5YJSA1E24GF142983,43900,Model S,2016,Dual Motor 90Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",49892,"Marina Del Rey, CA",CLEAN
5YJSA1E18GF170826,44000,Model S,2016,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",28007,"Carlsbad, CA",CLEAN
5YJSA1H26EFP66115,44000,Model S,2014,Dual Motor 85Kwh Performance,Model X Grey,Black,"21"" Wheels",35465,"Renton, WA",CLEAN
5YJSA1E16HF225355,44100,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",42807,"Fremont, CA",CLEAN
5YJSA1E26HF191393,44100,Model S,2017,Dual Motor 75Kwh,Solid Black,Tan,"19"" Sport Wheels",37996,"Cincinnati, OH",CLEAN
5YJSA1E22HF201479,44100,Model S,2017,Dual Motor 75Kwh,Deep Blue Metallic,Black Cloth,"19"" Sport Wheels",30209,"Lathrop, CA",CLEAN
5YJSA1E15HF220227,44200,Model S,2017,75Kwh,Solid Black,Black,"19"" Sport Wheels",36696,"Bellevue, WA",CLEAN
5YJSA1E27HF187059,44200,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black Cloth,"19"" Sport Wheels",27173,"Fremont, CA",CLEAN
5YJSA1E23HF204259,44300,Model S,2017,Dual Motor 75Kwh,Silver Metallic,Black,"19"" Sport Wheels",36855,"Chicago, IL",PREVIOUS ACCIDENT(S)
5YJSA1E2XGF129820,44300,Model S,2016,Dual Motor 70Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",28239,"Chicago, IL",CLEAN
5YJSA1E21HF196789,44400,Model S,2017,Dual Motor 75Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",39817,,CLEAN
5YJSA1E28FF120113,44400,Model S,2015,Dual Motor 85Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",35531,"Lathrop, CA",CLEAN
5YJSA1E29GF151940,44400,Model S,2016,Dual Motor 75Kwh,Deep Blue Metallic,Grey,"19"" Sport Wheels",31739,"Nashville, TN",CLEAN
5YJSA1E14HF204908,44400,Model S,2017,75Kwh,Model X Grey,White,"19"" Sport Wheels",25533,"Brooklyn, NY",CLEAN
5YJSA1E2XHF170482,44500,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",21459,"Lathrop, CA",CLEAN
5YJSA1E23GF168846,44500,Model S,2016,Dual Motor 75Kwh,Solid Black,Tan,"19"" Sport Wheels",32805,"Lathrop, CA",CLEAN
5YJSA1E15HF184443,44600,Model S,2017,75Kwh,Pearl White Multi-Coat,Black,"19"" Sport Wheels",29278,"Littleton, CO",CLEAN
5YJSA1E1XHF213094,44600,Model S,2017,75Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",19818,"Nashville, TN",CLEAN
5YJSA1E23HF202463,44700,Model S,2017,Dual Motor 75Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",37471,"Costa Mesa, CA",CLEAN
5YJSA1E1XHF187001,44700,Model S,2017,75Kwh,Red Multi-Coat,Black Cloth,"19"" Sport Wheels",50071,"Lathrop, CA",CLEAN
5YJSA1E15HF218980,44700,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",39387,"Santa Ana, CA",CLEAN
5YJSA1E16HF208796,44700,Model S,2017,75Kwh,Pearl White Multi-Coat,Black Cloth,"19"" Sport Wheels",33324,"Lathrop, CA",CLEAN
5YJSA1E29HF191632,44800,Model S,2017,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",31610,"Eatonville, FL",PREVIOUS ACCIDENT(S)
5YJSA1E24GF171643,44800,Model S,2016,Dual Motor 75Kwh,Model X Grey,Grey,"19"" Sport Wheels",33987,"Owings Mills, MD",CLEAN
5YJSA1E2XHF219440,44900,Model S,2017,Dual Motor 75Kwh,Model X Grey,Cream Premium,"19"" Sport Wheels",37053,"Lathrop, CA",PREVIOUS ACCIDENT(S)
5YJSA1E25HF210421,44900,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",36076,"Lathrop, CA",CLEAN
5YJSA1E18HF191337,45000,Model S,2017,75Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",31042,"Lathrop, CA",CLEAN
5YJSA1E17HF215904,45000,Model S,2017,75Kwh,Model X Grey,White,"19"" Sport Wheels",29308,"Lathrop, CA",CLEAN
5YJSA1E25HF191689,45100,Model S,2017,Dual Motor 75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",42646,,CLEAN
5YJSA1E22HF190421,45100,Model S,2017,Dual Motor 75Kwh,Model X Grey,Black,"19"" Sport Wheels",40421,"Lathrop, CA",CLEAN
5YJSA1E26HF193208,45200,Model S,2017,Dual Motor 75Kwh,Deep Blue Metallic,Black,"19"" Sport Wheels",34059,"Lathrop, CA",CLEAN
5YJSA1E29GF168222,45200,Model S,2016,Dual Motor 90Kwh,Silver Metallic,Black,"19"" Sport Wheels",47031,"Elk Grove Village, IL",CLEAN
5YJSA1E14HF184109,45300,Model S,2017,75Kwh,Deep Blue Metallic,White,"19"" Sport Wheels",20224,"Los Angeles, CA",CLEAN
5YJSA1E26HF191586,45300,Model S,2017,Dual Motor 90Kwh,Model X Grey,Black,"19"" Sport Wheels",54363,"Lisle, IL",CLEAN
5YJSA1E11HF189770,45300,Model S,2017,75Kwh,Solid Black,Black,"19"" Sport Wheels",28194,"Lathrop, CA",CLEAN
