VIN,Price,Model,Year,Drivetrain,Exterior Color,Interior Color,Wheels,Mileage,Location,History
5YJSA1V23FF099767,36100,Model S,2015,Dual Motor 90Kwh,Model X Grey,Black,"19"" Sport Wheels",89333,"Las Vegas, NV",CLEAN
5YJSA1E10GF139649,36900,Model S,2016,75Kwh,Silver Metallic,Black,"19"" Sport Wheels",41896,"Littleton, CO",CLEAN
5YJSA1S21FF087878,37200,Model S,2015,Dual Motor 70Kwh,Model X Grey,Black,"19"" Sport Wheels",42186,"Carlsbad, CA",CLEAN
5YJSA1H41FF088019,37600,Model S,2015,Dual Motor 85Kwh Performance,Solid Black,Black,"19"" Sport Wheels",78621,"Costa Mesa, CA",CLEAN
5YJSA1E28GF144641,38100,Model S,2016,Dual Motor 75Kwh,Solid Black,Black,"19"" Sport Wheels",64145,,CLEAN
5YJSA4H27FFP71309,38100,Model S,2015,Dual Motor 85Kwh,Deep Blue Metallic,Tan,"19"" Sport Wheels",42892,"Peabody, MA",PREVIOUS ACCIDENT(S)
5YJSA1E1XGF175994,38300,Model S,2016,75Kwh,Model X Grey,Black Cloth,"19"" Sport Wheels",53473,"Denver, CO",CLEAN
5YJSA1E13HF205256,38500,Model S,2017,75Kwh,Solid Black,Black Cloth,"19"" Sport Wheels",52105,"Fremont, CA",PREVIOUS ACCIDENT(S)
5YJSA1E10GF177401,38600,Model S,2016,75Kwh,Solid Black,Black,"19"" Sport Wheels",58536,"Atlanta, GA",CLEAN
5YJSA1E14GF150461,38700,Model S,2016,75Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",43624,"Littleton, CO",CLEAN
5YJSA1S22FF092815,39000,Model S,2015,Dual Motor 70Kwh,Deep Blue Metallic,Grey,"19"" Sport Wheels",27739,"Raleigh, NC",PREVIOUS ACCIDENT(S)
5YJSA1E15GF120210,39000,Model S,2016,85Kwh,Solid Black,Grey,"19"" Sport Wheels",38869,"Reno, NV",CLEAN
5YJSA1E12FF118381,39100,Model S,2015,70Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",37005,"Decatur, GA",CLEAN
5YJSA1E10GF153583,39300,Model S,2016,75Kwh,Model X Grey,Black,"19"" Sport Wheels",43612,"Lathrop, CA",CLEAN
5YJSA1E28GF124437,39400,Model S,2016,Dual Motor 70Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",45509,"Lathrop, CA",CLEAN
5YJSA1E12GF143010,39500,Model S,2016,75Kwh,Model X Grey,Grey,"19"" Sport Wheels",43398,"Decatur, GA",CLEAN
5YJSA1H16FF100932,39700,Model S,2015,85Kwh,Solid Black,Tan,"19"" Sport Wheels",29780,"Lathrop, CA",CLEAN
5YJSA1E15GF147326,39700,Model S,2016,75Kwh,Pearl White Multi-Coat,Black Cloth,"19"" Sport Wheels",34132,,PREVIOUS ACCIDENT(S)
5YJSA1E19GF153520,39800,Model S,2016,75Kwh,Pearl White Multi-Coat,Tan,"19"" Sport Wheels",34834,"West Palm Beach, FL",PREVIOUS ACCIDENT(S)
5YJSA1E25FF106475,39800,Model S,2015,Dual Motor 70Kwh,Red Multi-Coat,Tan,"19"" Sport Wheels",31189,"Lathrop, CA",CLEAN
5YJSA1E27GF130259,40300,Model S,2016,Dual Motor 90Kwh,Deep Blue Metallic,Tan,"19"" Sport Wheels",60674,"Jacksonville, FL",CLEAN
5YJSA1E11GF164074,40400,Model S,2016,75Kwh,Pearl White Multi-Coat,Black Cloth,"19"" Sport Wheels",39210,"Littleton, CO",CLEAN
5YJSA1E24FF119251,40500,Model S,2015,Dual Motor 70Kwh,Red Multi-Coat,Black,"19"" Sport Wheels",41588,"Portland, OR",CLEAN
5YJSA1E16FF112325,40700,Model S,2015,70Kwh,Silver Metallic,Grey,"19"" Sport Wheels",21874,"Lathrop, CA",CLEAN
